driver_family,lens,priority,source_types,question,why_it_matters,expected_evidence,confirms_or_disproves,story_use,geography,security_type
all,company_story,High,sec_filing|issuer_ir,"How does this company actually make money by segment and geography?","A convincing IC narrative starts from business economics rather than isolated line-item changes.","Revenue by segment|geography exposure|major products|customer or channel concentration","Confirms whether the source signal maps to a material business driver.","Builds the business model section of the company story.",all,all
revenue,demand_bridge,High,sec_filing|issuer_ir|presentation|industry_official_dataset,"Is the revenue signal driven by volume price mix FX or acquisition?","Revenue surprises are weak unless decomposed into sustainable drivers.","Segment revenue|units or GMV|ASP or take rate|FX impact|organic growth bridge","Confirms or disproves durable demand and pricing power.","Explains whether growth is real demand or accounting or FX.",all,all
margin,margin_bridge,High,sec_filing|issuer_ir|presentation|earnings_transcript,"What caused the gross or operating margin move?","Margin narratives need a causal bridge from price mix COGS input cost warranty incentives or opex.","Revenue|COGS|gross margin|segment margin|input cost|pricing|mix commentary","Confirms or disproves operating leverage and margin durability.","Turns a margin signal into an operating story.",all,all
financial_kpi,core_financials,High,sec_filing|issuer_ir,"Do core financial KPIs agree across revenue gross profit operating income net income and cash flow?","Large companies can have missing tags or partial metrics; the app should derive and reconcile before declaring gaps.","Revenue|gross profit|operating income|net income|OCF|capex|FCF","Confirms whether the KPI signal is complete and period aligned.","Gives the IC one-pager a coherent financial snapshot.",all,all
cash_credit,liquidity_bridge,High,sec_filing|issuer_ir|macro_market,"Is the cash or debt change operating cash generation financing working capital M&A or capital return?","Cash balance changes can mislead unless reconciled to cash-flow and financing statements.","Cash-flow statement|OCF|capex|dividends|buybacks|debt issuance|debt maturity|restricted cash","Confirms or disproves liquidity improvement and credit risk.","Builds equity optionality and credit downside story.",all,all
share_count,capital_return_bridge,High,sec_filing|issuer_ir|presentation,"Is the share-count move true dilution buyback or security-basis mismatch?","ADR ratios splits weighted-average basis and XBRL concepts can create false dilution signals.","Ordinary shares|ADS ratio|weighted-average shares|period-end shares|repurchases|issuance|split history","Confirms or disproves dilution or capital return.","Prevents false per-share narratives.",all,adr
guidance,expectations_bridge,High,earnings_transcript|issuer_ir|consensus_manual,"Did management give numeric guidance and did consensus revise afterward?","Guidance matters only if exact metric period range and expectations reaction are captured point-in-time.","Guidance quote|metric|period|range|speaker|pre and post consensus snapshots","Confirms or disproves expectations change.","Connects management outlook to market capture.",all,all
management,management_quality,Medium,earnings_transcript|agm_egm_proxy|issuer_ir,"Did management repeat quantify or evade key commitments?","Management tone is useful only when tied to measurable promises and later outcomes.","Speaker quote|promise|deadline|specific KPI|prior promise outcome|Q&A specificity","Confirms or disproves management credibility.","Adds management-quality narrative without turning tone into proof.",all,all
regulation,legal_policy,High,regulator_court|sec_filing|issuer_ir,"Is the regulatory or legal signal official specific and financially material?","Legal and policy stories need official corroboration and exposure sizing.","Regulator release|court docket|issuer disclosure|affected product or region|financial exposure","Confirms or disproves material legal risk.","Separates real regulatory catalysts from boilerplate.",all,all
revenue,china_adr_segment,High,issuer_ir|sec_filing|hkex_document|cninfo_document,"Which China ADR segment is driving the thesis?","China ADR stories need segment and home-market context rather than ADR price action alone.","China commerce|cloud|international|local services|logistics|GMV|take rate|RMB impact","Confirms or disproves the China ADR operating driver.","Builds China ADR segment storytelling.",adr,adr
margin,china_adr_margin,High,issuer_ir|sec_filing|hkex_document|cninfo_document,"Are China ADR margins driven by monetization mix subsidy discipline cloud scale or logistics cost?","Segment mix and local competition often explain China internet margins better than consolidated totals.","Segment revenue|segment EBITA|subsidies|logistics cost|cloud margin|international losses","Confirms or disproves margin durability by segment.","Links China ADR margin signals to competitive economics.",adr,adr
cash_credit,adr_capital_return,Medium,sec_filing|issuer_ir|presentation,"Does capital return actually reduce ADS or ordinary share count after ratio normalization?","ADR buybacks need ADS ordinary-share and repurchase-table reconciliation.","Buyback table|ADS ratio|ordinary shares|repurchased amount|cash balance|authorization remaining","Confirms or disproves per-share value accretion.","Connects buybacks to shareholder return story.",adr,adr
all,peer_readthrough,Medium,sec_filing|global_peer_official_document|issuer_ir_report,"Are peers showing the same operating KPI trend in the same period?","Peer read-through should compare operating metrics not just stock returns.","Peer revenue|gross profit|margin|segment KPI|cash flow|same fiscal period","Confirms company-specific versus sector-wide driver.","Builds competitive context.",all,all
all,geography_context,Medium,macro_market|industry_official_dataset|trade_import_export,"Is the company exposed to a geography macro shock or local demand cycle?","A stock move can be driven by geography FX policy or local demand rather than company evidence.","Local retail sales|FX|PMI|industry volume|policy event|local benchmark","Confirms or disproves geography-driven attribution.","Adds geography narrative and attribution context.",all,all
